18.0   6   232.0      100.0      2945.      16.0   73  1	'amc hornet'
18.0   6   250.0      88.00      3021.      16.5   73  1	'ford maverick'
23.0   6   198.0      95.00      2904.      16.0   73  1	'plymouth duster'
26.0   4   97.00      46.00      1950.      21.0   73  2	'volkswagen super beetle'
11.0   8   400.0      150.0      4997.      14.0   73  1	'chevrolet impala'
12.0   8   400.0      167.0      4906.      12.5   73  1	'ford country'
13.0   8   360.0      170.0      4654.      13.0   73  1	'plymouth custom suburb'
12.0   8   350.0      180.0      4499.      12.5   73  1	'oldsmobile vista cruiser'
18.0   6   232.0      100.0      2789.      15.0   73  1	'amc gremlin'
20.0   4   97.00      88.00      2279.      19.0   73  3	'toyota carina'
21.0   4   140.0      72.00      2401.      19.5   73  1	'chevrolet vega'
22.0   4   108.0      94.00      2379.      16.5   73  3	'datsun 610'
18.0   3   70.00      90.00      2124.      13.5   73  3	'maxda rx3'
19.0   4   122.0      85.00      2310.      18.5   73  1	'ford pinto'
21.0   6   155.0      107.0      2472.      14.0   73  1	'mercury capri v6'
26.0   4   98.00      90.00      2265.      15.5   73  2	'fiat 124 sport coupe'
15.0   8   350.0      145.0      4082.      13.0   73  1	'chevrolet monte carlo s'
16.0   8   400.0      230.0      4278.      9.50   73  1	'pontiac grand prix'
29.0   4   68.00      49.00      1867.      19.5   73  2	'fiat 128'
24.0   4   116.0      75.00      2158.      15.5   73  2	'opel manta'
20.0   4   114.0      91.00      2582.      14.0   73  2	'audi 100ls'
19.0   4   121.0      112.0      2868.      15.5   73  2	'volvo 144ea'
15.0   8   318.0      150.0      3399.      11.0   73  1	'dodge dart custom'
24.0   4   121.0      110.0      2660.      14.0   73  2	'saab 99le'
20.0   6   156.0      122.0      2807.      13.5   73  3	'toyota mark ii'
11.0   8   350.0      180.0      3664.      11.0   73  1	'oldsmobile omega'
20.0   6   198.0      95.00      3102.      16.5   74  1	'plymouth duster'
21.0   6   200.0      ?          2875.      17.0   74  1	'ford maverick'
19.0   6   232.0      100.0      2901.      16.0   74  1	'amc hornet'
15.0   6   250.0      100.0      3336.      17.0   74  1	'chevrolet nova'
31.0   4   79.00      67.00      1950.      19.0   74  3	'datsun b210'
26.0   4   122.0      80.00      2451.      16.5   74  1	'ford pinto'
32.0   4   71.00      65.00      1836.      21.0   74  3	'toyota corolla 1200'
25.0   4   140.0      75.00      2542.      17.0   74  1	'chevrolet vega'
16.0   6   250.0      100.0      3781.      17.0   74  1	'chevrolet chevelle malibu classic'
16.0   6   258.0      110.0      3632.      18.0   74  1	'amc matador'
18.0   6   225.0      105.0      3613.      16.5   74  1	'plymouth satellite sebring'
16.0   8   302.0      140.0      4141.      14.0   74  1	'ford gran torino'
13.0   8   350.0      150.0      4699.      14.5   74  1	'buick century luxus (sw)'
14.0   8   318.0      150.0      4457.      13.5   74  1	'dodge coronet custom (sw)'
14.0   8   302.0      140.0      4638.      16.0   74  1	'ford gran torino (sw)'
14.0   8   304.0      150.0      4257.      15.5   74  1	'amc matador (sw)'
29.0   4   98.00      83.00      2219.      16.5   74  2	'audi fox'
26.0   4   79.00      67.00      1963.      15.5   74  2	'volkswagen dasher'
26.0   4   97.00      78.00      2300.      14.5   74  2	'opel manta'
31.0   4   76.00      52.00      1649.      16.5   74  3	'toyota corona'
32.0   4   83.00      61.00      2003.      19.0   74  3	'datsun 710'
28.0   4   90.00      75.00      2125.      14.5   74  1	'dodge colt'
24.0   4   90.00      75.00      2108.      15.5   74  2	'fiat 128'
26.0   4   116.0      75.00      2246.      14.0   74  2	'fiat 124 tc'
24.0   4   120.0      97.00      2489.      15.0   74  3	'honda civic'
26.0   4   108.0      93.00      2391.      15.5   74  3	'subaru'
31.0   4   79.00      67.00      2000.      16.0   74  2	'fiat x1.9'
19.0   6   225.0      95.00      3264.      16.0   75  1	'plymouth valiant custom'
18.0   6   250.0      105.0      3459.      16.0   75  1	'chevrolet nova'
15.0   6   250.0      72.00      3432.      21.0   75  1	'mercury monarch'
15.0   6   250.0      72.00      3158.      19.5   75  1	'ford maverick'
16.0   8   400.0      170.0      4668.      11.5   75  1	'pontiac catalina'
15.0   8   350.0      145.0      4440.      14.0   75  1	'chevrolet bel air'
16.0   8   318.0      150.0      4498.      14.5   75  1	'plymouth grand fury'
14.0   8   351.0      148.0      4657.      13.5   75  1	'ford ltd'
17.0   6   231.0      110.0      3907.      21.0   75  1	'buick century'
16.0   6   250.0      105.0      3897.      18.5   75  1	'chevroelt chevelle malibu'
15.0   6   258.0      110.0      3730.      19.0   75  1	'amc matador'
18.0   6   225.0      95.00      3785.      19.0   75  1	'plymouth fury'
21.0   6   231.0      110.0      3039.      15.0   75  1	'buick skyhawk'
20.0   8   262.0      110.0      3221.      13.5   75  1	'chevrolet monza 2+2'
